"epoch","tx","tx-idx","committee-yes","committee-excl-abstain","DRep-yes","DRep-excl-abstain","SPO-yes","SPO-active","SPO-abstain","outcome"
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",11,0,0,2664885088468807,5373055469918125,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",12,0,0,2341112647646582,5372223321628575,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",13,0,0,2204889882382856,5113883931898686,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",14,0,0,2460659694855015,5366457794807616,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",15,0,0,2919478143537014,5373055469918125,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",16,0,0,1957665909186011,4960158763604776,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",17,0,0,1991676337433689,5372658800994683,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",18,0,0,2297589624128728,5120159378305839,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",19,0,0,1724376147167589,5344213624309282,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",20,0,0,2452134868343499,5329703307525505,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",21,0,0,2592242284675623,5322128537093718,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",22,0,0,2239770587200329,5373055374550548,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",23,0,0,3039075180801418,5369407092362446,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",24,0,0,2377949171537073,5364950249794255,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",25,0,0,2022625230046651,5364950249794255,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",26,0,0,2574829029237871,5301886085830624,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",27,0,0,1730524091666332,5290443498211162,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",28,0,0,2474549728315888,5365852059084508,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",29,0,0,1753531706200332,5336133538739130,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",30,0,0,1934361096787974,5372115796912411,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",31,0,0,2605823628616708,5365463799966908,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",32,0,0,2819244623011077,5120121514590378,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",33,0,0,1866059732933665,5120159378305839,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",34,0,0,1950108105494792,5120159378305839,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",35,0,0,2401810792400777,5329703307525505,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",36,0,0,2290637010812340,5367650035515983,0,21902643146872253,9149251409452672,""
573,"2c7f900b7ff68f317a7b0e42231d4aed36227660baf2ee9a4be7e880eb977313",0,0,0,2075517950335689,5138754777873908,0,21902643146872253,9149251409452672,""
573,"9d213a57684d7ddf6f3350c80d042639ecbed5ccccc4a05bf54959a086593e7b",0,0,0,1871226657307155,4673110931728747,32369391625908,21902643146872253,9149106202990574,""
